Distance_ft,aerial_vf2f_dep,aerial_vf2f_ponddep,aerial_f2m_dep,aerial_f2m_ponddep,aerial_m2c_dep,aerial_m2c_ponddep,aerial_c2vc_dep,aerial_c2vc_ponddep
859.5696,0.04522,0.04223,0.01270,0.01197,0.00581,0.00544,0.00340,0.00319
866.1312,0.04499,0.04205,0.01265,0.01193,0.00578,0.00542,0.00339,0.00317
872.6928,0.04478,0.04189,0.01260,0.01189,0.00575,0.00540,0.00337,0.00316
879.2544,0.04456,0.04172,0.01255,0.01185,0.00573,0.00538,0.00336,0.00315
885.816,0.04435,0.04156,0.01250,0.01181,0.00570,0.00536,0.00334,0.00314
892.3776,0.04414,0.04140,0.01245,0.01177,0.00568,0.00534,0.00333,0.00313
898.9392,0.04393,0.04125,0.01240,0.01173,0.00566,0.00532,0.00331,0.00311
905.5008,0.04373,0.04109,0.01235,0.01169,0.00563,0.00530,0.00330,0.00310
912.0624,0.04353,0.04094,0.01230,0.01165,0.00561,0.00528,0.00329,0.00309
918.624,0.04334,0.04079,0.01225,0.01162,0.00558,0.00526,0.00327,0.00308
925.1856,0.04315,0.04065,0.01221,0.01158,0.00556,0.00524,0.00326,0.00307
931.7472,0.04297,0.04050,0.01216,0.01154,0.00554,0.00522,0.00325,0.00306
938.3088,0.04278,0.04036,0.01211,0.01151,0.00551,0.00521,0.00323,0.00305
944.8704,0.04260,0.04022,0.01207,0.01147,0.00549,0.00519,0.00322,0.00304
951.432,0.04242,0.04009,0.01203,0.01144,0.00547,0.00517,0.00320,0.00303
957.9936,0.04225,0.03995,0.01198,0.01140,0.00544,0.00515,0.00319,0.00302
964.5552,0.04208,0.03982,0.01194,0.01137,0.00542,0.00514,0.00318,0.00301
971.1168,0.04191,0.03969,0.01190,0.01134,0.00540,0.00512,0.00316,0.00300
977.6784,0.04175,0.03956,0.01186,0.01130,0.00538,0.00510,0.00315,0.00299
984.24,0.04159,0.03944,0.01182,0.01127,0.00536,0.00508,0.00314,0.00298
990.8016,0.04143,0.03931,0.01178,0.01124,0.00534,0.00507,0.00313,0.00297
997.3632,0.04127,0.03919,0.01174,0.01121,0.00532,0.00505,0.00312,0.00296
